id	ko	ja	pos	pos_tag	lemma
756	삼	3	Numeral	NR	삼
757	삼거리	三つ角、三叉路	Noun	NNG	삼거리
758	삼계탕	サムゲタン（蓼鶏湯）	Noun	NNG	삼계탕
759	삼십	30	Numeral	NR	삼
760	삼월	３月	Noun	NNG	삼월
761	삼촌	（父方の）おじ	Noun	NNG	삼촌
762	상관	関係	Noun	NNG	상관
763	상자	箱、ボックス	Noun	NNG	상자
764	상처	傷	Noun	NNG	상처
765	상품	商品	Noun	NNG	상품
766	새	新しい、鳥	Noun	NNG	새
767	새로	新しく	Adverb	MAG	새로
768	새벽	深夜、未明、明け方	Noun	NNG	새벽
769	새우	えび	Noun	NNG	새우
770	색	色	Noun	NNG	색
771	색깔	色	Noun	NNG	색깔
772	샌드위치	サンドウィッチ	Noun	NNG	샌드위치
773	생각	考え、思想	Noun	NNG	생각
774	생각되다	考えられる、思われる	Noun	NNG	생각
775	생각하다	考える	Noun	NNG	생각
776	생기다	生じる	Verb	VV	생기다
777	생선	魚（料理）	Noun	NNG	생선
778	생신	（目上の人の）誕生日	Noun	NNG	생신
779	생일	誕生日	Noun	NNG	생일
780	생활	生活	Noun	NNG	생활
781	샤워하다	シャワーする	Noun	NNG	샤워
782	샴푸	シャンプー	Noun	NNG	샴푸
783	서다	立つ、（時計の針などが）止まる	Verb	VV	서다
784	서로	互いに、共に	Adverb	MAG	서로
785	서류	書類	Noun	NNG	서류
786	서른	30	Numeral	NR	서른
787	서비스	サービス	Noun	NNG	서비스
788	서양	西洋	Noun	NNG	서양
789	서울	ソウル	Noun	NNP	서울
790	서울역	ソウル駅	Noun	NNP	서울역
791	서점	書店、本屋	Noun	NNG	서점
792	서쪽	西、西側	Noun	NNG	서쪽
793	선물	プレゼント	Noun	NNG	선물
794	선배	先輩	Noun	NNG	선배
795	선생님	先生	Noun	NNG	선생
796	선수	選手	Noun	NNG	선수
797	선택하다	選択する、選ぶ	Noun	NNG	선택
798	선풍기	扇風機	Noun	NNG	선풍기
799	설거지	皿洗い	Noun	NNG	설거지
800	설날	（旧正月の）元旦	Noun	NNG	설날
801	설렁탕	ソルロンタン	Noun	NNG	설렁탕
802	설명	説明	Noun	NNG	설명
803	설명하다	説明する	Noun	NNG	설명
804	설악산	雪岳山	Noun	NNP	설악산
805	설탕	砂糖	Noun	NNG	설탕
806	섬	島	Noun	NNG	섬
807	성	姓、名字	Noun	NNG	성
808	성격	性格	Noun	NNG	성격
809	성함	お名前	Noun	NNG	성함
810	세계	世界	Noun	NNG	세계
811	세수하다	洗顔する	Noun	NNG	세수
812	세우다	たてる	Verb	VV	세우다
813	세일하다	セールする	Noun	NNG	세일
814	세탁기	洗濯機	Noun	NNG	세탁기
815	세탁소	クリーニング屋	Noun	NNG	세탁소
816	센터	センター	Noun	NNG	센터
817	센티미터	センチメートル	Noun	NNB	센티미터
818	셋	3	Numeral	NR	셋
819	셋째	第３の～、３番目の～	Numeral	NR	셋째
820	소	牛	Noun	NNG	소
821	소개	紹介	Noun	NNG	소개
822	소개하다	紹介する	Noun	NNG	소개
823	소고기	牛肉	Noun	NNG	소고기
824	소금	塩	Noun	NNG	소금
825	소리	音、声	Noun	NNG	소리
826	소설	小説	Noun	NNG	소설
827	소설가	小説家	Noun	NNG	소설가
828	소식	消息、便り	Noun	NNG	소식
829	소파	ソファー	Noun	NNG	소파
830	소포	小包	Noun	NNG	소포
831	소풍	遠足	Noun	NNG	소풍
832	소화제	消化剤	Noun	NNG	소화제
833	속	中	Noun	NNG	속
834	손	手	Noun	NNG	손
835	손가락	手の指	Noun	NNG	손가락
836	손님	お客さま	Noun	NNG	손
837	손수건	ハンカチ	Noun	NNG	손수건
838	송이	（花などの）房	Noun	NNG	송이
